# Auto-generated sample sheet
# sample_id	r1	r2
sample_id	r1	r2
KMUN-001-LFM4957	data/KMU_Shahzad_2024/KMUN-001-LFM4957_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-001-LFM4957_L2_2.fq.gz
KMUN-002-LFM4959	data/KMU_Shahzad_2024/KMUN-002-LFM4959_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-002-LFM4959_L2_2.fq.gz
KMUN-003-LFM4961	data/KMU_Shahzad_2024/KMUN-003-LFM4961_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-003-LFM4961_L2_2.fq.gz
KMUN-004-LFM4963	data/KMU_Shahzad_2024/KMUN-004-LFM4963_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-004-LFM4963_L2_2.fq.gz
KMUN-005-LFM4965	data/KMU_Shahzad_2024/KMUN-005-LFM4965_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-005-LFM4965_L2_2.fq.gz
KMUN-006-LFM4967	data/KMU_Shahzad_2024/KMUN-006-LFM4967_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-006-LFM4967_L2_2.fq.gz
KMUN-007-LFM4969	data/KMU_Shahzad_2024/KMUN-007-LFM4969_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-007-LFM4969_L2_2.fq.gz
KMUN-008-LFM4971	data/KMU_Shahzad_2024/KMUN-008-LFM4971_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-008-LFM4971_L2_2.fq.gz
KMUN-009-LFM4973	data/KMU_Shahzad_2024/KMUN-009-LFM4973_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-009-LFM4973_L2_2.fq.gz
KMUN-010-LFM4975	data/KMU_Shahzad_2024/KMUN-010-LFM4975_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-010-LFM4975_L2_2.fq.gz
KMUN-011-LFM4977	data/KMU_Shahzad_2024/KMUN-011-LFM4977_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-011-LFM4977_L2_2.fq.gz
KMUN-012-LFM4979	data/KMU_Shahzad_2024/KMUN-012-LFM4979_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-012-LFM4979_L2_2.fq.gz
KMUN-013-LFM4981	data/KMU_Shahzad_2024/KMUN-013-LFM4981_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-013-LFM4981_L2_2.fq.gz
KMUN-014-LFM4983	data/KMU_Shahzad_2024/KMUN-014-LFM4983_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-014-LFM4983_L2_2.fq.gz
KMUN-015-LFM4985	data/KMU_Shahzad_2024/KMUN-015-LFM4985_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-015-LFM4985_L2_2.fq.gz
KMUN-018-LFM4991	data/KMU_Shahzad_2024/KMUN-018-LFM4991_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-018-LFM4991_L2_2.fq.gz
KMUN-019A-LFM4994	data/KMU_Shahzad_2024/KMUN-019A-LFM4994_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-019A-LFM4994_L2_2.fq.gz
KMUN-020-LFM4995	data/KMU_Shahzad_2024/KMUN-020-LFM4995_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-020-LFM4995_L2_2.fq.gz
KMUN-021-LFM4997	data/KMU_Shahzad_2024/KMUN-021-LFM4997_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-021-LFM4997_L2_2.fq.gz
KMUN-022-LFM4999	data/KMU_Shahzad_2024/KMUN-022-LFM4999_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-022-LFM4999_L2_2.fq.gz
KMUN-023-LFM5001	data/KMU_Shahzad_2024/KMUN-023-LFM5001_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-023-LFM5001_L2_2.fq.gz
KMUN-024-LFM5003	data/KMU_Shahzad_2024/KMUN-024-LFM5003_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-024-LFM5003_L2_2.fq.gz
KMUN-025-LFM5005	data/KMU_Shahzad_2024/KMUN-025-LFM5005_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-025-LFM5005_L2_2.fq.gz
KMUN-028-LFM5011	data/KMU_Shahzad_2024/KMUN-028-LFM5011_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-028-LFM5011_L2_2.fq.gz
KMUN-029A-LFM5014	data/KMU_Shahzad_2024/KMUN-029A-LFM5014_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-029A-LFM5014_L2_2.fq.gz
KMUN-030-LFM5015	data/KMU_Shahzad_2024/KMUN-030-LFM5015_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUN-030-LFM5015_L2_2.fq.gz
KMUOB-012-LFM4859	data/KMU_Shahzad_2024/KMUOB-012-LFM4859_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUOB-012-LFM4859_L2_2.fq.gz
KMUS-001-LFM4897	data/KMU_Shahzad_2024/KMUS-001-LFM4897_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-001-LFM4897_L2_2.fq.gz
KMUS-002-LFM4899	data/KMU_Shahzad_2024/KMUS-002-LFM4899_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-002-LFM4899_L2_2.fq.gz
KMUS-003-LFM4901	data/KMU_Shahzad_2024/KMUS-003-LFM4901_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-003-LFM4901_L2_2.fq.gz
KMUS-005-LFM4905	data/KMU_Shahzad_2024/KMUS-005-LFM4905_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-005-LFM4905_L2_2.fq.gz
KMUS-007-LFM4909	data/KMU_Shahzad_2024/KMUS-007-LFM4909_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-007-LFM4909_L2_2.fq.gz
KMUS-008-LFM4911	data/KMU_Shahzad_2024/KMUS-008-LFM4911_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-008-LFM4911_L2_2.fq.gz
KMUS-009-LFM4913	data/KMU_Shahzad_2024/KMUS-009-LFM4913_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-009-LFM4913_L2_2.fq.gz
KMUS-011-LFM4917	data/KMU_Shahzad_2024/KMUS-011-LFM4917_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-011-LFM4917_L2_2.fq.gz
KMUS-012-LFM4919	data/KMU_Shahzad_2024/KMUS-012-LFM4919_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-012-LFM4919_L2_2.fq.gz
KMUS-013-LFM4921	data/KMU_Shahzad_2024/KMUS-013-LFM4921_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-013-LFM4921_L2_2.fq.gz
KMUS-014A-LFM4924	data/KMU_Shahzad_2024/KMUS-014A-LFM4924_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-014A-LFM4924_L2_2.fq.gz
KMUS-015-LFM4925	data/KMU_Shahzad_2024/KMUS-015-LFM4925_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-015-LFM4925_L2_2.fq.gz
KMUS-016-LFM4927	data/KMU_Shahzad_2024/KMUS-016-LFM4927_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-016-LFM4927_L2_2.fq.gz
KMUS-019-LFM4933	data/KMU_Shahzad_2024/KMUS-019-LFM4933_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-019-LFM4933_L2_2.fq.gz
KMUS-020-LFM4935	data/KMU_Shahzad_2024/KMUS-020-LFM4935_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-020-LFM4935_L2_2.fq.gz
KMUS-021-LFM4937	data/KMU_Shahzad_2024/KMUS-021-LFM4937_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-021-LFM4937_L2_2.fq.gz
KMUS-022-LFM4939	data/KMU_Shahzad_2024/KMUS-022-LFM4939_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-022-LFM4939_L2_2.fq.gz
KMUS-023-LFM4941	data/KMU_Shahzad_2024/KMUS-023-LFM4941_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-023-LFM4941_L2_2.fq.gz
KMUS-024-LFM4943	data/KMU_Shahzad_2024/KMUS-024-LFM4943_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-024-LFM4943_L2_2.fq.gz
KMUS-027-LFM4949	data/KMU_Shahzad_2024/KMUS-027-LFM4949_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-027-LFM4949_L2_2.fq.gz
KMUS-028A-LFM4952	data/KMU_Shahzad_2024/KMUS-028A-LFM4952_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-028A-LFM4952_L2_2.fq.gz
KMUS-029-LFM4953	data/KMU_Shahzad_2024/KMUS-029-LFM4953_L2_1.fq.gz	data/KMU_Shahzad_2024/KMUS-029-LFM4953_L2_2.fq.gz
